Time_Period,age,Sexe,Employed_Total,Unemployed_Total,Population_Active,Taux_Chomage (%)
2017,0-10,F,144447.708607,732.335,145180.043607,0.5044322771953553
2017,0-10,M,51744.097719000005,1935.3102,53679.407919000005,3.6053121206558436
2017,11-20,F,76273.733038,959.6228,77233.355838,1.2424978684246824
2017,11-20,M,39014.684864,1116.58,40131.264864000004,2.7823194802953615
2017,21-30,F,152780.559404,0.0,152780.559404,0.0
2017,21-30,M,15675.800718,1507.5678000000003,17183.368518,8.773412491391232
2017,31-40,F,217365.011886,1740.2463,219105.258186,0.7942512719264331
2017,31-40,M,144374.906755,872.1684,145247.075155,0.600472263602739
2017,41-50,F,226831.01957,1138.908,227969.92757,0.4995869464626158
2017,41-50,M,26395.843612999997,880.6904000000001,27276.534012999997,3.2287474632233812
2018,0-10,F,214947.54029,2906.7647,217854.30499,1.3342700297492065
2018,0-10,M,285816.492956,1288.5650999999998,287105.058056,0.4488130960579122
2018,11-20,F,16603.752723,1295.2409,17898.993623000002,7.236389527149896
2018,11-20,M,226246.478171,2533.7409000000002,228780.219071,1.107499988543011
2018,21-30,F,10476.775726,1717.835,12194.610725999999,14.086837526821766
2018,21-30,M,79070.764507,972.4254999999999,80043.190007,1.2148759937165905
2018,31-40,F,126927.074555,909.3979,127836.472455,0.7113759340630423
2018,31-40,M,0.0,546.2722,546.2722,100.0
2018,41-50,F,140224.34087299998,1729.6543000000001,141953.99517299997,1.2184611626407997
2018,41-50,M,131075.591936,1597.3760000000002,132672.967936,1.2039950751463984
2019,0-10,F,219930.987968,440.3269,220371.314868,0.19981135034010714
2019,0-10,M,214224.672409,1763.7976999999998,215988.470109,0.8166165995388031
2019,11-20,F,90246.719862,1135.6109000000001,91382.330762,1.2427029279408874
2019,11-20,M,119722.266092,1663.2898,121385.555892,1.3702534768468448
2019,21-30,F,188260.68248999998,2000.0097,190260.69218999997,1.0511943780813806
2019,21-30,M,191959.27105,946.3032999999999,192905.57435,0.4905525945471466
2019,31-40,F,165719.539224,1364.0557,167083.594924,0.8163911607363112
2019,31-40,M,222770.687453,2497.3876,225268.07505299998,1.108629174112855
2019,41-50,F,0.0,1016.992,1016.992,100.0
2019,41-50,M,521136.478524,1357.9467,522494.42522399995,0.2598968782141228
2020,0-10,F,105453.617656,2017.8115,107471.429156,1.8775329553597435
2020,0-10,M,103768.534726,643.276,104411.810726,0.6160950523960363
2020,11-20,F,245280.648545,2104.9249,247385.57344500002,0.8508680885015218
2020,11-20,M,0.0,823.5133000000001,823.5133000000001,100.0
2020,21-30,F,223201.71912,182.64749999999998,223384.36662,0.08176377906995719
2020,21-30,M,39117.465459,1815.7964,40933.261859,4.435992436309497
2020,31-40,F,74913.73159,302.2834,75216.01499,0.40188701839653257
2020,31-40,M,157470.29877,0.0,157470.29877,0.0
2020,41-50,F,337376.215358,2006.4701,339382.685458,0.5912116869757956
2020,41-50,M,194092.20564300002,1677.0731999999998,195769.27884300004,0.8566580057461174
2021,0-10,F,88506.225317,1312.223,89818.448317,1.4609726894509651
2021,0-10,M,8407.03423,2369.3725,10776.406729999999,21.986665494018524
2021,11-20,F,183818.453457,1927.8432,185746.296657,1.0378905177097364
2021,11-20,M,150435.506774,3257.996,153693.50277400002,2.11980073405624
2021,21-30,F,134620.920392,1234.8716,135855.791992,0.9089576394893171
2021,21-30,M,153043.213497,1566.5555,154609.76899699998,1.0132319000039365
2021,31-40,F,152857.405475,1213.721,154071.126475,0.7877666813820186
2021,31-40,M,52909.534803999995,807.8215,53717.35630399999,1.503837038122903
2021,41-50,F,94087.8001,2617.918,96705.7181,2.707097420333411
2021,41-50,M,48620.013038,1911.5327,50531.545738,3.782850241532423
2022,0-10,F,123039.43708199999,1634.3487,124673.78578199999,1.31090003383531
2022,0-10,M,302175.99533,1018.7370000000001,303194.73233,0.3360008903093993
2022,11-20,F,255198.005561,1215.1441,256413.149661,0.47390085165543333
2022,11-20,M,342285.06298499997,1358.8975,343643.960485,0.3954376204028517
2022,21-30,F,0.0,1143.1247,1143.1247,100.0
2022,21-30,M,23221.050555,2462.8531000000003,25683.903655000002,9.589091802719581
2022,31-40,F,102763.895489,431.8378,103195.733289,0.41846478166944834
2022,31-40,M,162661.253474,0.0,162661.253474,0.0
2022,41-50,F,144375.22111,1077.3588,145452.57991,0.740694184088467
2022,41-50,M,83945.251234,1385.7711,85331.022334,1.62399448886931
